cod_gl_res144_indec,provincia,departamento,nombre_del_gobierno_local,categoria_de_gobierno,gobierno_local_con_paso_o_centro_fronterizo,gobierno_local_que_pertenece_a_un_aglomerado_urbano,poblacion_censo_2010,localidades_administradas_por_el_gobierno_local,distancia_a_la_capital_provincial,distancia_a_la_capital_alterna,perfil_economico_de_la_region,cantidad_de_parques_industriales_renpi,incendios_reportados_en_el_periodo_1999-2022,inundaciones_reportadas_en_el_periodo_1999-2022,fiestas_locales,sitio_web,direccion_postal_de_la_sede_de_gobierno,telefonos_sede_de_gobierno,apellido_y_nombre_de_la_maxima_autoridad.,latitud,longitud
746133,San Luis,General Pedernera,La Punilla,Comisión Municipal,No,No,  192 ,La Punilla             ,"117,5 KM","117,5 KM",Industrial - Primario,0,0,0,-,Sin datos,Ruta 10 (5831),"0266 4452000  Int. 8904,0266 4452010 Int. 8904","Dubini, Adriana Patricia",-65.0900570093,-33.1438840644
746140,San Luis,General Pedernera,Lavaisse,Comisión Municipal,No,No,  68 ,Lavaisse             ,"102,5 KM","102,5 KM",Industrial - Primario,0,0,0,-,Sin datos,José Garciarena S/N (5741),"0266 4452000  Int. 8905,0266 4452010 Int. 8905","Baigorria, Cristina Edith",-65.4264919146,-33.8228409254
746147,San Luis,Gobernador Dupuy,Anchorena,Comisión Municipal,No,No,  631 ,Anchorena             ,"276,9 KM","276,9 KM",Primario,0,0,0,-,Sin datos,Av. San Luis S/N° (6389),"02658 493025 Int. 8801,0266 4452000 /4452010 Int. 8801,02664 15889229","Baigorria, Héctor Eduardo",-65.4246390827,-35.6757095531
746154,San Luis,Gobernador Dupuy,Arizona,Comisión Municipal,No,No,  1.040 ,Arizona             ,"285,1 KM","285,1 KM",Primario,0,0,0,-,Sin datos,Av. Santamarina N° 315 (6389),"02664 45200 Int. 8802,02664 445201 Int. 8802","Figueroa, Jorge Ariel",-65.3204875821,-35.7250784906
746161,San Luis,Gobernador Dupuy,Bagual,Comisión Municipal,No,No,  230 ,Bagual             ,"216,5 KM","216,5 KM",Primario,0,0,0,-,https://www.facebook.com/Municipalidad-de-Bagual-101850954513634/,Av. Rivadavia S/N (6216),"0266 4452000 Int. 8803,0266 4452010 Int 8803","Larrauri, Ricardo Julián José",-65.5698831698,-35.1430446242
746168,San Luis,Gobernador Dupuy,Batavia,Comisión Municipal,No,No,  349 ,Batavia             ,"174,7 KM","174,7 KM",Primario,0,0,0,-,https://www.facebook.com/municipalidaddebatavia/,Pringles 92 (acceso) (6279),"0266 4452000 Int. 8804,0266 4452010 Int 5915","Seguel, Diego",-65.6900489601,-34.7783462529
746175,San Luis,Gobernador Dupuy,Fortín El Patria,Comisión Municipal,No,No,  480 ,Fortín El Patria             ,"179,9 KM","179,9 KM",Primario,0,0,0,-,Sin datos,Miguel A. Nevot 595 (6279),"02664 452000 Int. 8806,02664 4452010 Int. 8823","Gatica, Diego Raúl",-65.5227577781,-34.7724690565
746182,San Luis,Gobernador Dupuy,Fortuna,Comisión Municipal,No,No,  82 ,Fortuna             ,"221,5 KM","221,5 KM",Primario,0,0,0,-,Sin datos,Belgrano  N° 282 (6216),"02664 452000 Int. 8807,02664 4452010 Int. 8807","Lucero, Diego Exequiel",-65.3830928495,-35.1307004273
746189,San Luis,Gobernador Dupuy,Navia,Comisión Municipal,No,No,  205 ,Navia             ,"165,4 KM","165,4 KM",Primario,0,0,0,-,Sin datos,Rafael Calzada Nº 401 (6279),"0266 4452000 Int. 8087,0266 154407486,0266 4452010 Int. 8087","Olivera, Osvaldo Francisco",-66.5864418315,-34.7748629843
746196,San Luis,Gobernador Dupuy,Nueva Galia,Comisión Municipal,No,No,  1.353 ,Nueva Galia             ,"224,7 KM","224,7 KM",Primario,0,0,0,"Fiesta Provincial del Caldén (Diciembre) - Festival Nacional del Caldén, de Doma y Folclore (Marzo) -",Sin datos,San Martín y Belgrano (6216),"0266 4452000 Int. 8809,0266 4452010 Int. 4871","Moreyra, Sergio Ariel",-65.2587339953,-35.1151810758
746210,San Luis,Junín,Lafinur,Comisión Municipal,No,No,  201 ,Lafinur             ,166 KM,166 KM,Primario - Industrial,0,0,0,Festival de la Alfalfa (Enero) -,Sin datos,Av. San Martin S/N (5871),"0266 4452000  Int. 8702,0266 4452010  Int. 8702","Nievas, Germán Antonio",-65.3501415422,-32.0625819747
746217,San Luis,Junín,Los Molles,Comisión Municipal,No,No,  732 ,Los Molles             ,157 KM,157 KM,Primario - Industrial,0,0,0,-,https://www.munilosmolles.gob.ar/,Pringles y Belgrano S/N° (5883),"0266 4452000 Int. 8703,0266 4452010 Int. 8703,0266 4452000 Int. 8708","Urquiza, Héctor Aureliano",-65.0097622006,-32.438599752
746224,San Luis,Junín,Talita,Comisión Municipal,No,No,  50 ,Talita             ,"136,7 KM","136,7 KM",Primario - Industrial,0,0,0,Festival del Higo (Enero) -,S/D,Pringles S/N° (5711),"0266 4452000  Int. 8706,0266 4452010 Int. 8706","García, Darwin",-65.5832382344,-32.2489523566
746231,San Luis,Juan Martín de Pueyrredón,Alto Pelado,Comisión Municipal,No,No,  119 ,Alto Pelado             ,"62,2 KM","62,2 KM",Industrial - Primario,0,0,0,-,Sin datos,9 de Julio S/N°(5721),"02664 452000 Int. 8001,02664 4452010 Int. 8063","Poggio, María Cecilia",-66.1390733396,-33.8370288224
746238,San Luis,Juan Martín de Pueyrredón,Alto Pencoso,Comisión Municipal,No,No,  272 ,Alto Pencoso             ,"56,7 KM","56,7 KM",Industrial - Primario,0,0,0,Fiesta del Yeso y la Arena (Febrero) -,Sin datos,San Martín S/N° (Esq. Sarmiento) (5724),"02664 452000 Int. 8002,0266 154653434,02664 4452010 Int. 8002","Olguín, Guillermo Julio",-66.9259429402,-33.4329324779
746245,San Luis,Juan Martín de Pueyrredón,Balde,Comisión Municipal,No,No,  589 ,Balde             ,"26,9 KM","26,9 KM",Industrial - Primario,0,0,0,Fiesta Provincial de las Aguas Termales (Febrero) -,Sin datos,Av. Esteban Agüero S/N° (5724),"0266 4452000 Int. 8003,02664452010 Int. 8003","Paez, Gladys Edith",-66.6216972621,-33.3410554336
746252,San Luis,Juan Martín de Pueyrredón,Beazley,Comisión Municipal,No,No,  957 ,Beazley             ,"58,1 KM","58,1 KM",Industrial - Primario,0,0,0,-,Sin datos,Hipolito Irigoyen S/N esquina Juan D. Peron (5721),"02664 452000 Int. 8010,02664 4452010 Int. 8010","Gonzalez, Nelsón Ezequiel",-66.6446791294,-33.7574838666
